data e hora	media_coef	num_row	accurate	per_i	qtd_dias
 2023-11-11 12:39:20.82547 	0.171194894	10	1	5	9
 2023-11-11 12:43:14.179279 	0.17350457	10	1	5	9
 2023-11-11 12:47:32.798335 	0.176272153	10	1	5	9
 2023-11-11 12:52:28.463461 	0.180121005	10	1	5	9
 2023-11-11 12:58:41.627378 	0.174449776	10	1	5	9
 2023-11-11 13:03:42.584334 	0.180283843	10	1	6	9
 2023-11-11 13:08:09.500444 	0.179451358	10	1	6	9
 2023-11-11 13:11:48.291899 	0.188779852	10	1	6	9
 2023-11-11 13:17:45.285569 	0.184642759	10	1	6	9
 2023-11-11 13:23:24.574587 	0.181807532	10	1	6	9
 2023-11-11 13:27:09.675313 	0.355489353	10	1	7	9
 2023-11-11 13:31:39.083074 	0.356789803	10	1	7	9
 2023-11-11 13:35:12.225166 	0.354614662	10	1	7	9
 2023-11-11 13:38:54.594009 	0.349075335	10	1	7	9
 2023-11-11 13:42:47.68534 	0.357931377	10	1	7	9
 2023-11-11 13:54:13.94631 	0.265774677	10	1	4	10
 2023-11-11 13:59:50.694253 	0.262732861	10	1	4	10
 2023-11-11 14:04:50.790475 	0.267983951	10	1	4	10
 2023-11-11 14:10:02.4231 	0.267603601	10	1	4	10
 2023-11-11 14:16:03.336196 	0.267493871	10	1	4	10
 2023-11-11 14:22:43.475447 	0.177074051	10	1	5	10
 2023-11-11 14:28:08.228886 	0.174033739	10	1	5	10
 2023-11-11 14:34:16.098561 	0.167541189	10	1	5	10
 2023-11-11 14:38:47.382143 	0.174343484	10	1	5	10
 2023-11-11 14:46:25.367563 	0.166786954	10	1	5	10
 2023-11-11 14:50:20.200123 	0.190429516	10	1	6	10
 2023-11-11 14:56:26.985261 	0.184800308	10	1	6	10
 2023-11-11 15:00:10.55 	0.188072832	10	1	6	10
 2023-11-11 15:07:03.441411 	0.189977204	10	1	6	10
 2023-11-11 15:12:57.100127 	0.189088484	10	1	6	10
 2023-11-11 15:20:08.857172 	0.353512195	10	1	7	10
 2023-11-11 15:23:37.09756 	0.350777655	10	1	7	10
 2023-11-11 15:26:37.13037 	0.355093036	10	1	7	10
 2023-11-11 15:30:19.91889 	0.354034036	10	1	7	10
 2023-11-11 15:35:39.49794 	0.351336671	10	1	7	10
 2023-11-11 15:45:54.743016 	0.258455953	10	1	4	11
 2023-11-11 15:51:31.065647 	0.255444877	10	1	4	11
 2023-11-11 15:56:04.667233 	0.254978494	10	1	4	11
 2023-11-11 15:59:42.305113 	0.254569899	10	1	4	11
 2023-11-11 16:03:44.54319 	0.260024624	10	1	4	11
 2023-11-11 16:08:52.988252 	0.169562116	10	1	5	11
